Project,Duration (in minutes),Start date,End date
Work,25.25,2022-12-06 17:24,2022-12-06 17:49
Work,27.16666667,2022-12-06 16:23,2022-12-06 16:50
Work,25.71666667,2022-12-06 15:37,2022-12-06 16:03
Work,25.7,2022-12-06 14:41,2022-12-06 15:06
Work,25.23333333,2022-12-06 14:05,2022-12-06 14:31
Work,37.25,2022-12-06 12:26,2022-12-06 13:04
Work,27.9,2022-12-05 20:28,2022-12-05 20:56
Work,25.2,2022-12-05 18:00,2022-12-05 18:40
Work,25.91666667,2022-12-05 16:50,2022-12-05 17:16
Work,32.26666667,2022-12-05 15:05,2022-12-05 15:38
Work,25.36666667,2022-12-05 14:11,2022-12-05 14:37
Work,34.26666667,2022-12-05 11:13,2022-12-05 11:47
Work,16.5,2022-12-05 10:13,2022-12-05 10:30
Work,21.98333333,2022-12-01 14:58,2022-12-01 15:20
Work,22.66666667,2022-12-01 13:21,2022-12-01 13:43
Work,19.61666667,2022-12-01 11:59,2022-12-01 12:19
Work,26.2,2022-12-01 10:36,2022-12-01 11:02
Work,28.51666667,2022-11-30 16:48,2022-11-30 17:17
Work,26.65,2022-11-30 15:59,2022-11-30 16:25
Work,25.3,2022-11-30 14:56,2022-11-30 15:21
Work,25.16666667,2022-11-30 14:19,2022-11-30 14:44
Work,24.91666667,2022-11-30 11:35,2022-11-30 12:00
Work,12.81666667,2022-11-30 10:32,2022-11-30 10:45
Work,25.43333333,2022-11-30 09:58,2022-11-30 10:24
Work,27.9,2022-11-30 08:54,2022-11-30 09:21
Work,23.8,2022-11-29 21:37,2022-11-29 22:01
Work,32.6,2022-11-29 20:46,2022-11-29 21:18
Work,25.35,2022-11-29 18:56,2022-11-29 19:21
Work,27.81666667,2022-11-29 17:55,2022-11-29 18:23
Work,25.65,2022-11-29 16:36,2022-11-29 17:02
Work,25.23333333,2022-11-29 12:30,2022-11-29 12:55
Work,25,2022-11-29 11:00,2022-11-29 11:25
Work,14.41666667,2022-11-29 09:46,2022-11-29 10:00
Work,18.33333333,2022-11-29 09:02,2022-11-29 09:20
Work,32.71666667,2022-11-28 16:20,2022-11-28 16:53
Work,31.65,2022-11-28 15:03,2022-11-28 15:35
Work,26.11666667,2022-11-28 14:05,2022-11-28 14:31
Work,32.83333333,2022-11-28 12:13,2022-11-28 12:46
Work,25.71666667,2022-11-28 10:48,2022-11-28 11:13
Work,13.61666667,2022-11-28 10:17,2022-11-28 10:31
Work,39.43333333,2022-11-27 18:06,2022-11-27 18:45
Work,25.3,2022-11-27 17:16,2022-11-27 17:41
Work,28.9,2022-11-25 20:28,2022-11-25 20:57
Work,24.96666667,2022-11-25 19:32,2022-11-25 19:57
Work,27.03333333,2022-11-25 18:57,2022-11-25 19:24
Work,26.48333333,2022-11-25 17:14,2022-11-25 17:41
Work,25.46666667,2022-11-25 15:55,2022-11-25 16:21
Work,21.85,2022-11-25 15:02,2022-11-25 15:23
Work,15.31666667,2022-11-25 14:14,2022-11-25 14:29
Work,15.36666667,2022-11-25 11:13,2022-11-25 11:28
Work,41.13333333,2022-11-25 09:59,2022-11-25 10:40
Work,23.91666667,2022-11-25 08:56,2022-11-25 09:20
Work,25.93333333,2022-11-24 20:13,2022-11-24 20:39
Work,32.5,2022-11-24 19:16,2022-11-24 19:49
Work,30.78333333,2022-11-24 18:25,2022-11-24 18:56
Work,25.8,2022-11-24 17:35,2022-11-24 18:01
Work,28.43333333,2022-11-24 13:56,2022-11-24 14:24
Work,26.53333333,2022-11-24 13:12,2022-11-24 13:39
Work,6.566666667,2022-11-24 10:14,2022-11-24 10:21
Work,25.93333333,2022-11-23 14:27,2022-11-23 14:53
Work,25.5,2022-11-23 13:43,2022-11-23 14:08
Work,27.68333333,2022-11-23 11:48,2022-11-23 12:16
Work,15.93333333,2022-11-23 10:29,2022-11-23 10:45
Work,15,2022-11-23 10:00,2022-11-23 10:15
Work,22.28333333,2022-11-22 20:03,2022-11-22 20:26
Work,25.51666667,2022-11-22 19:13,2022-11-22 19:38
Work,27.1,2022-11-22 16:40,2022-11-22 17:07
Work,36.51666667,2022-11-22 15:49,2022-11-22 16:25
Work,27.76666667,2022-11-22 15:09,2022-11-22 15:36
Work,25.35,2022-11-22 14:35,2022-11-22 15:01
Work,15.36666667,2022-11-22 09:05,2022-11-22 09:20
Work,26.13333333,2022-11-21 18:51,2022-11-21 19:17
Work,22.88333333,2022-11-21 18:00,2022-11-21 18:23
Work,27.23333333,2022-11-21 17:17,2022-11-21 17:44
Work,25.96666667,2022-11-21 16:24,2022-11-21 16:50
Work,32.03333333,2022-11-21 15:12,2022-11-21 15:44
Work,7.833333333,2022-11-21 12:22,2022-11-21 12:30
Work,31.45,2022-11-21 11:06,2022-11-21 11:38
Work,9.3,2022-11-21 10:21,2022-11-21 10:30
Work,40.35,2022-11-18 14:32,2022-11-18 15:12
Work,71.6,2022-11-18 10:19,2022-11-18 11:31
Work,10.2,2022-11-18 09:10,2022-11-18 09:20
Work,40.16666667,2022-11-17 19:15,2022-11-17 19:55
Work,26.78333333,2022-11-17 18:27,2022-11-17 18:53
Work,25.78333333,2022-11-17 17:37,2022-11-17 18:03
Work,37.38333333,2022-11-17 13:54,2022-11-17 14:32
Work,25.2,2022-11-17 10:48,2022-11-17 11:13
Work,8.35,2022-11-17 09:13,2022-11-17 09:21
Work,26.93333333,2022-11-17 08:30,2022-11-17 08:57
Work,31.63333333,2022-11-16 18:49,2022-11-16 19:21
Work,14.23333333,2022-11-16 17:21,2022-11-16 17:35
Work,25.51666667,2022-11-16 16:37,2022-11-16 17:03
Work,28.85,2022-11-16 15:51,2022-11-16 16:19
Work,29.6,2022-11-16 15:03,2022-11-16 15:33
Work,25.21666667,2022-11-16 14:15,2022-11-16 14:40
Work,16,2022-11-16 11:33,2022-11-16 11:49
Work,15.75,2022-11-16 09:03,2022-11-16 09:18
Learning,30,2022-11-15 15:00,2022-11-15 15:30
Work,25.73333333,2022-11-15 14:26,2022-11-15 14:52
Work,25.36666667,2022-11-15 12:13,2022-11-15 12:38
Work,28.65,2022-11-15 11:15,2022-11-15 11:43
Work,13.01666667,2022-11-15 09:47,2022-11-15 10:00
Work,27.08333333,2022-11-15 08:50,2022-11-15 09:18
Work,31.21666667,2022-11-14 18:16,2022-11-14 18:47
Work,30.7,2022-11-14 17:26,2022-11-14 17:57
Work,28.36666667,2022-11-14 16:44,2022-11-14 17:12
Work,34.06666667,2022-11-14 15:50,2022-11-14 16:24
Work,27.66666667,2022-11-14 15:02,2022-11-14 15:30
Work,20.15,2022-11-14 14:08,2022-11-14 14:28
Work,15,2022-11-14 11:05,2022-11-14 11:20
Work,9.866666667,2022-11-14 10:06,2022-11-14 10:16
Work,54.76666667,2022-11-10 16:28,2022-11-10 17:22
Work,23.56666667,2022-11-10 14:36,2022-11-10 14:59
Work,10,2022-11-10 14:06,2022-11-10 14:16
Work,35.38333333,2022-11-10 09:54,2022-11-10 10:30
Work,24.91666667,2022-11-10 08:53,2022-11-10 09:18
Work,29.51666667,2022-11-09 18:29,2022-11-09 18:59
Work,43.9,2022-11-09 17:27,2022-11-09 18:10
Work,19.13333333,2022-11-09 16:59,2022-11-09 17:18
Work,11.51666667,2022-11-09 16:33,2022-11-09 16:44
Work,25,2022-11-09 15:54,2022-11-09 16:19
Work,20.18333333,2022-11-09 11:39,2022-11-09 11:59
Work,38.51666667,2022-11-08 15:06,2022-11-08 15:44
Work,66.76666667,2022-11-08 12:57,2022-11-08 14:04
Work,39.01666667,2022-11-08 11:05,2022-11-08 11:44
Work,34.28333333,2022-11-08 08:46,2022-11-08 09:20
Work,24.71666667,2022-11-07 20:40,2022-11-07 21:05
Work,25.91666667,2022-11-07 19:51,2022-11-07 20:17
Work,30.1,2022-11-07 17:52,2022-11-07 18:22
Work,40.8,2022-11-07 16:27,2022-11-07 17:08
Work,34.96666667,2022-11-07 15:29,2022-11-07 16:04
Work,27.48333333,2022-11-07 14:47,2022-11-07 15:14
Work,25.46666667,2022-11-07 14:10,2022-11-07 14:36
Work,10.7,2022-11-07 09:09,2022-11-07 09:20
Work,13.15,2022-11-06 20:47,2022-11-06 21:00
Work,15.55,2022-11-06 20:19,2022-11-06 20:35
Work,23.6,2022-11-06 19:41,2022-11-06 20:05
Work,23,2022-11-06 18:22,2022-11-06 18:45
Work,20.38333333,2022-11-06 17:37,2022-11-06 17:57
Work,19.55,2022-11-06 15:41,2022-11-06 16:01
Work,32.33333333,2022-11-06 14:58,2022-11-06 15:30
Work,26.56666667,2022-11-06 14:22,2022-11-06 14:49
Work,27.45,2022-11-04 19:59,2022-11-04 20:26
Work,25.55,2022-11-04 19:17,2022-11-04 19:43
Work,12.86666667,2022-11-04 18:37,2022-11-04 18:50
Work,29.93333333,2022-11-04 17:57,2022-11-04 18:27
Work,27.26666667,2022-11-04 17:17,2022-11-04 17:44
Work,29.71666667,2022-11-04 15:08,2022-11-04 15:38
Work,23.26666667,2022-11-03 08:56,2022-11-03 09:20
Work,32.15,2022-11-02 16:42,2022-11-02 17:14
Work,25.43333333,2022-11-02 14:44,2022-11-02 15:10
Learning,47.5,2022-10-30 23:45,2022-10-31 00:32
Learning,65.53333333,2022-10-30 21:47,2022-10-30 22:52
Work,29.55,2022-10-28 15:29,2022-10-28 15:59
Work,41.45,2022-10-28 14:44,2022-10-28 15:25
Work,45.53333333,2022-10-28 12:51,2022-10-28 13:37
Work,34.75,2022-10-28 12:08,2022-10-28 12:43
Work,36.15,2022-10-28 11:12,2022-10-28 11:48
Work,28.75,2022-10-28 10:29,2022-10-28 10:58
Work,16.35,2022-10-28 09:41,2022-10-28 09:57
Work,12.31666667,2022-10-28 09:07,2022-10-28 09:19
Work,35.98333333,2022-10-27 17:36,2022-10-27 18:12
Work,31.1,2022-10-27 16:09,2022-10-27 16:40
Work,12.23333333,2022-10-27 14:47,2022-10-27 14:59
Work,40.36666667,2022-10-27 13:51,2022-10-27 14:32
Work,15.13333333,2022-10-27 10:08,2022-10-27 10:23
Work,26.71666667,2022-10-26 18:41,2022-10-26 19:07
Work,3.983333333,2022-10-26 17:28,2022-10-26 17:57
Work,36.05,2022-10-26 16:41,2022-10-26 17:17
Work,15.55,2022-10-26 14:38,2022-10-26 14:53
Learning,50,2022-10-26 12:00,2022-10-26 12:50
Work,18.21666667,2022-10-26 11:32,2022-10-26 11:50
Work,15.36666667,2022-10-26 10:15,2022-10-26 10:30
Work,10.9,2022-10-26 09:06,2022-10-26 09:17
Work,27.86666667,2022-10-25 18:44,2022-10-25 19:17
Work,25.61666667,2022-10-25 18:11,2022-10-25 18:37
Work,11.98333333,2022-10-25 17:18,2022-10-25 17:30
Work,19.33333333,2022-10-25 16:41,2022-10-25 17:00
Work,26.43333333,2022-10-25 16:07,2022-10-25 16:34
Work,15.5,2022-10-25 15:29,2022-10-25 15:44
Work,20.13333333,2022-10-25 12:45,2022-10-25 13:06
Work,35.3,2022-10-25 11:23,2022-10-25 11:58
Work,29.2,2022-10-25 08:50,2022-10-25 09:19
Work,29.55,2022-10-24 16:33,2022-10-24 17:03
Work,26.58333333,2022-10-24 14:50,2022-10-24 15:16
Work,25.36666667,2022-10-24 14:18,2022-10-24 14:43
Work,18.61666667,2022-10-24 11:41,2022-10-24 11:59
Work,26,2022-10-24 09:58,2022-10-24 10:24
Work,11.71666667,2022-10-24 09:08,2022-10-24 09:20
Work,24.06666667,2022-10-21 15:05,2022-10-21 15:30
Work,27.01666667,2022-10-21 14:22,2022-10-21 14:58
Work,20.76666667,2022-10-21 11:08,2022-10-21 11:29
Work,37.71666667,2022-10-21 10:22,2022-10-21 11:00
Work,25.93333333,2022-10-20 17:14,2022-10-20 17:40
Work,25.25,2022-10-20 14:33,2022-10-20 14:58
Work,25.26666667,2022-10-20 13:59,2022-10-20 14:25
Work,26.18333333,2022-10-20 12:45,2022-10-20 13:11
Work,20.25,2022-10-20 10:09,2022-10-20 10:29
Work,25.86666667,2022-10-20 08:41,2022-10-20 09:07
Work,21,2022-10-19 17:00,2022-10-19 17:21
Work,19.43333333,2022-10-19 15:40,2022-10-19 15:59
Work,15.2,2022-10-19 14:59,2022-10-19 15:14
Work,26.4,2022-10-19 12:41,2022-10-19 13:07
Work,15.18333333,2022-10-19 11:44,2022-10-19 11:59
Work,27.48333333,2022-10-19 10:12,2022-10-19 10:40
Work,25.38333333,2022-10-19 08:48,2022-10-19 09:18
Work,25.25,2022-10-18 17:16,2022-10-18 17:41
Work,26.66666667,2022-10-18 16:34,2022-10-18 17:01
Work,16.41666667,2022-10-18 15:43,2022-10-18 16:00
Work,25.2,2022-10-18 14:54,2022-10-18 15:19
Work,23.98333333,2022-10-18 13:09,2022-10-18 13:33
Work,10.85,2022-10-18 11:39,2022-10-18 11:50
Work,23.6,2022-10-18 08:46,2022-10-18 09:10
Work,21.41666667,2022-10-17 16:32,2022-10-17 16:53
Work,35,2022-10-17 15:32,2022-10-17 16:07
Work,17.5,2022-10-17 13:58,2022-10-17 14:15
Work,25.3,2022-10-17 12:45,2022-10-17 13:10
Work,33.65,2022-10-17 11:52,2022-10-17 12:35
Work,16.1,2022-10-17 11:20,2022-10-17 11:36
Work,6.116666667,2022-10-17 10:22,2022-10-17 10:28
Work,23.73333333,2022-10-17 08:56,2022-10-17 09:19
Work,39.4,2022-10-14 15:25,2022-10-14 16:04
Work,60.56666667,2022-10-14 09:59,2022-10-14 11:00
Work,16.06666667,2022-10-14 09:05,2022-10-14 09:21
Work,31.73333333,2022-10-12 17:14,2022-10-12 17:46
Work,30.33333333,2022-10-12 16:06,2022-10-12 16:37
Work,28.7,2022-10-12 13:32,2022-10-12 14:01
Work,68.18333333,2022-10-12 12:14,2022-10-12 13:27
Work,25.95,2022-10-12 09:50,2022-10-12 10:16
Work,52.66666667,2022-10-12 08:26,2022-10-12 09:19
Work,69.43333333,2022-10-11 20:13,2022-10-11 21:22
Work,33.16666667,2022-10-11 19:08,2022-10-11 19:41
Work,15.68333333,2022-10-11 16:46,2022-10-11 17:01
Work,35.3,2022-10-11 15:58,2022-10-11 16:34
Work,30.26666667,2022-10-11 15:22,2022-10-11 15:52
Work,26.83333333,2022-10-11 14:36,2022-10-11 15:03
Work,25,2022-10-11 14:08,2022-10-11 14:33
Work,10.81666667,2022-10-11 12:52,2022-10-11 13:03
Work,15.21666667,2022-10-11 11:30,2022-10-11 11:45
Work,15.03333333,2022-10-11 10:43,2022-10-11 10:58
Work,30.1,2022-10-11 08:48,2022-10-11 09:18
Work,27.43333333,2022-10-10 20:35,2022-10-10 21:03
Work,26.18333333,2022-10-10 18:24,2022-10-10 18:50
Work,29.35,2022-10-10 17:43,2022-10-10 18:13
Work,47,2022-10-07 15:13,2022-10-07 16:00
Work,26.4,2022-10-07 14:40,2022-10-07 15:06
Work,20.08333333,2022-10-07 11:02,2022-10-07 11:22
Work,57.3,2022-10-07 09:48,2022-10-07 10:45
Work,5.7,2022-10-07 09:15,2022-10-07 09:20
Work,63.05,2022-10-06 16:59,2022-10-06 18:02
Work,31.43333333,2022-10-06 16:13,2022-10-06 16:44
Work,8.083333333,2022-10-06 10:52,2022-10-06 11:01
Work,30.6,2022-10-06 08:49,2022-10-06 09:19
Work,27.66666667,2022-10-05 19:47,2022-10-05 20:15
Work,39.98333333,2022-10-05 16:20,2022-10-05 17:00
Work,18.21666667,2022-10-05 15:38,2022-10-05 15:56
Work,25.31666667,2022-10-05 15:01,2022-10-05 15:27
Work,32.98333333,2022-10-05 13:17,2022-10-05 13:50
Work,25.33333333,2022-10-05 12:09,2022-10-05 12:34
Work,46.6,2022-10-05 09:51,2022-10-05 10:38
Work,22.25,2022-10-05 08:56,2022-10-05 09:18
Work,33.81666667,2022-10-04 16:33,2022-10-04 17:06
Work,31.6,2022-10-04 15:40,2022-10-04 16:17
Work,30.91666667,2022-10-04 14:24,2022-10-04 14:55
Work,60.66666667,2022-10-04 11:03,2022-10-04 12:04
Work,13.58333333,2022-10-04 09:06,2022-10-04 09:20
Work,28.71666667,2022-10-03 20:13,2022-10-03 20:41
Work,26.48333333,2022-10-03 19:33,2022-10-03 19:59
Work,23.08333333,2022-10-03 18:44,2022-10-03 19:07
Work,26.58333333,2022-10-03 17:47,2022-10-03 18:13
Work,28.51666667,2022-10-03 16:45,2022-10-03 17:13
Work,27.96666667,2022-10-03 15:35,2022-10-03 16:03
Work,28.96666667,2022-10-03 14:55,2022-10-03 15:24
Work,27.9,2022-10-03 13:46,2022-10-03 14:13
Work,27.88333333,2022-10-03 12:27,2022-10-03 12:54
Work,28.15,2022-10-03 10:00,2022-10-03 10:28
Work,19.98333333,2022-10-03 08:56,2022-10-03 09:16
Work,25,2022-09-29 16:00,2022-09-29 16:25
Work,15.93333333,2022-09-29 14:45,2022-09-29 15:01
Work,38.1,2022-09-29 13:59,2022-09-29 14:37
Work,32.98333333,2022-09-29 08:46,2022-09-29 09:19
Work,15.75,2022-09-28 17:33,2022-09-28 17:49
Work,40.55,2022-09-28 16:31,2022-09-28 17:11
Work,15,2022-09-28 15:45,2022-09-28 16:00
Work,30.16666667,2022-09-28 14:24,2022-09-28 14:54
Work,46.61666667,2022-09-28 13:33,2022-09-28 14:19
Work,41.03333333,2022-09-28 11:15,2022-09-28 11:56
Work,16.78333333,2022-09-28 10:29,2022-09-28 10:46
Work,27.13333333,2022-09-28 09:50,2022-09-28 10:17
Work,5.616666667,2022-09-28 09:14,2022-09-28 09:20
Work,54.86666667,2022-09-27 15:53,2022-09-27 16:48
Work,51.28333333,2022-09-27 14:32,2022-09-27 15:23
Work,75,2022-09-27 11:00,2022-09-27 12:15
Work,25.36666667,2022-09-27 10:34,2022-09-27 11:00
Work,25.88333333,2022-09-27 08:56,2022-09-27 09:22
Work,56.48333333,2022-09-26 19:44,2022-09-26 20:44
Work,32.15,2022-09-26 18:48,2022-09-26 19:31
Work,52.95,2022-09-26 17:16,2022-09-26 18:09
Work,15,2022-09-26 16:30,2022-09-26 16:45
Work,27.98333333,2022-09-26 16:01,2022-09-26 16:29
Work,15,2022-09-26 15:30,2022-09-26 15:45
Work,10.96666667,2022-09-26 14:19,2022-09-26 14:30
Work,15,2022-09-26 11:45,2022-09-26 12:00
Work,26.73333333,2022-09-26 11:18,2022-09-26 11:45
Work,72.45,2022-09-23 22:53,2022-09-24 00:05
Work,57.5,2022-09-23 19:52,2022-09-23 20:50
Work,55.23333333,2022-09-23 15:07,2022-09-23 16:03
Work,56.31666667,2022-09-23 13:56,2022-09-23 14:52
Work,21.9,2022-09-23 11:07,2022-09-23 11:29
Work,25,2022-09-23 10:30,2022-09-23 10:55
Work,21.15,2022-09-23 09:59,2022-09-23 10:29
Work,6.4,2022-09-23 09:14,2022-09-23 09:21
Work,10.93333333,2022-09-22 16:53,2022-09-22 17:04
Work,15,2022-09-22 16:15,2022-09-22 16:30
Work,5.4,2022-09-22 16:09,2022-09-22 16:15
Work,41.16666667,2022-09-22 14:19,2022-09-22 15:00
Work,40,2022-09-22 11:00,2022-09-22 11:40
Work,15,2022-09-22 10:15,2022-09-22 10:30
Work,30.96666667,2022-09-21 16:34,2022-09-21 17:05
Work,15,2022-09-21 15:45,2022-09-21 16:00
Work,47.83333333,2022-09-21 14:54,2022-09-21 15:42
Work,51.75,2022-09-21 13:02,2022-09-21 13:54
Work,15,2022-09-21 11:00,2022-09-21 11:15
Work,10.96666667,2022-09-21 09:06,2022-09-21 09:17
Work,23.81666667,2022-09-20 17:01,2022-09-20 17:25
Work,15,2022-09-20 16:00,2022-09-20 16:15
Work,23.5,2022-09-20 15:31,2022-09-20 15:54
Work,42.66666667,2022-09-20 14:40,2022-09-20 15:22
Work,12.16666667,2022-09-20 12:37,2022-09-20 12:49
Work,15,2022-09-20 11:45,2022-09-20 12:00
Work,69,2022-09-20 10:13,2022-09-20 11:22
Work,14,2022-09-16 21:48,2022-09-16 22:02
Work,28.73333333,2022-09-16 21:00,2022-09-16 21:29
Learning,26.56666667,2022-09-16 19:45,2022-09-16 20:12
Learning,25.71666667,2022-09-16 19:02,2022-09-16 19:27
Learning,30.38333333,2022-09-16 18:24,2022-09-16 18:54
Work,28.9,2022-09-15 19:51,2022-09-15 20:20
Work,30.45,2022-09-15 19:02,2022-09-15 19:32
Work,31.5,2022-09-15 18:08,2022-09-15 18:40
Work,45.06666667,2022-09-15 14:21,2022-09-15 15:06
Work,59.95,2022-09-15 11:48,2022-09-15 12:48
Work,15,2022-09-14 17:24,2022-09-14 17:39
Work,30.51666667,2022-09-14 16:51,2022-09-14 17:22
Work,20,2022-09-14 16:00,2022-09-14 16:20
Work,25.06666667,2022-09-14 15:34,2022-09-14 16:00
Work,57.51666667,2022-09-14 14:10,2022-09-14 15:08
Work,35.98333333,2022-09-14 12:05,2022-09-14 12:41
Work,40.18333333,2022-09-14 11:23,2022-09-14 12:03
Work,6.616666667,2022-09-14 10:39,2022-09-14 10:46
Work,37.88333333,2022-09-14 09:42,2022-09-14 10:20
Work,5.216666667,2022-09-14 09:14,2022-09-14 09:19
Work,44.5,2022-09-13 16:16,2022-09-13 17:01
Work,57.05,2022-09-13 14:44,2022-09-13 15:41
Work,27.3,2022-09-13 13:03,2022-09-13 13:30
Work,6.35,2022-09-13 11:51,2022-09-13 11:58
Work,13.65,2022-09-13 11:15,2022-09-13 11:28
Work,25.8,2022-09-13 10:45,2022-09-13 11:11
Work,43.86666667,2022-09-13 09:46,2022-09-13 10:30
Work,7.666666667,2022-09-13 09:13,2022-09-13 09:20
Work,37.96666667,2022-09-12 16:32,2022-09-12 17:10
Work,10,2022-09-12 16:00,2022-09-12 16:10
Work,10.53333333,2022-09-12 14:06,2022-09-12 14:16
Work,45.21666667,2022-09-12 11:08,2022-09-12 11:53
Work,40.06666667,2022-09-12 10:02,2022-09-12 10:42
Work,5.55,2022-09-12 09:15,2022-09-12 09:20
Work,54.06666667,2022-09-09 10:31,2022-09-09 11:25
Work,66,2022-09-09 09:07,2022-09-09 10:13
Work,55.4,2022-09-08 17:45,2022-09-08 18:40
Work,57.91666667,2022-09-08 16:26,2022-09-08 17:24
Work,25.15,2022-09-08 14:31,2022-09-08 14:56
Work,18.4,2022-09-08 12:44,2022-09-08 13:03
Work,23.58333333,2022-09-08 10:33,2022-09-08 10:56
Work,20.51666667,2022-09-08 10:04,2022-09-08 10:25
Work,32.83333333,2022-09-08 09:12,2022-09-08 09:45
Work,45.08333333,2022-09-07 16:29,2022-09-07 17:14
Work,30.26666667,2022-09-07 15:45,2022-09-07 16:15
Work,35.06666667,2022-09-07 14:36,2022-09-07 15:11
Work,60.05,2022-09-07 11:58,2022-09-07 12:58
Work,16.4,2022-09-07 11:04,2022-09-07 11:20
Work,15.05,2022-09-07 10:29,2022-09-07 10:44
Work,19.66666667,2022-09-07 09:09,2022-09-07 09:29
Work,42.46666667,2022-09-06 16:44,2022-09-06 17:26
Work,25,2022-09-06 11:30,2022-09-06 11:55
Work,27.61666667,2022-09-06 11:01,2022-09-06 11:29
Work,38,2022-09-06 09:38,2022-09-06 10:16
Work,50.06666667,2022-09-05 16:57,2022-09-05 17:47
Work,25,2022-09-05 14:00,2022-09-05 14:25
Work,27.25,2022-09-05 11:31,2022-09-05 11:58
Work,30.56666667,2022-09-05 10:10,2022-09-05 10:41
Work,28.95,2022-09-05 09:37,2022-09-05 10:05
Work,40.65,2022-09-04 15:17,2022-09-04 15:58
Learning,24.95,2022-09-04 00:01,2022-09-04 00:26
Work,50.51666667,2022-09-02 15:40,2022-09-02 16:31
Work,50.06666667,2022-09-02 14:05,2022-09-02 14:55
Work,45.8,2022-09-02 09:39,2022-09-02 10:25
Work,20.38333333,2022-09-01 16:50,2022-09-01 17:10
Work,26.7,2022-09-01 16:05,2022-09-01 16:31
Work,40,2022-09-01 15:01,2022-09-01 15:41
Work,43.56666667,2022-09-01 14:11,2022-09-01 15:00
Work,35.11666667,2022-09-01 10:22,2022-09-01 10:57
Work,30.15,2022-09-01 08:59,2022-09-01 09:29
Work,41.28333333,2022-08-31 16:24,2022-08-31 17:08
Work,26.66666667,2022-08-31 15:26,2022-08-31 15:53
Work,35.41666667,2022-08-31 14:28,2022-08-31 15:04
Work,115,2022-08-31 08:53,2022-08-31 10:48
Work,45,2022-08-30 19:00,2022-08-30 19:45
Work,235,2022-08-30 08:45,2022-08-30 12:40
Work,76,2022-08-29 14:30,2022-08-29 15:46
